%Time(s.),X-Position (x[2]),Y-Position (x[1]),Input u
3.45000000e+00,-1.01272954e-03,-4.13389867e-02,9.58314477e-01
3.46000000e+00,-1.42721862e-03,-4.17241085e-02,9.58526150e-01
3.47000000e+00,-1.84554931e-03,-4.21088443e-02,9.58736808e-01
3.48000000e+00,-2.26771757e-03,-4.24931532e-02,9.58946458e-01
3.49000000e+00,-2.69371892e-03,-4.28769934e-02,9.59155106e-01
3.50000000e+00,-3.12354848e-03,-4.32603231e-02,9.59362757e-01
3.51000000e+00,-3.55720095e-03,-4.36431000e-02,9.59569417e-01
3.52000000e+00,-3.99467058e-03,-4.40252814e-02,9.59775093e-01
3.53000000e+00,-4.43595123e-03,-4.44068244e-02,9.59979790e-01
3.54000000e+00,-4.88103631e-03,-4.47876854e-02,9.60183514e-01
3.55000000e+00,-5.32991879e-03,-4.51678207e-02,9.60386270e-01
3.56000000e+00,-5.78259121e-03,-4.55471862e-02,9.60588064e-01
3.57000000e+00,-6.23904566e-03,-4.59257374e-02,9.60788903e-01
3.58000000e+00,-6.69927379e-03,-4.63034293e-02,9.60988790e-01
3.59000000e+00,-7.16326680e-03,-4.66802167e-02,9.61187733e-01
3.60000000e+00,-7.63101544e-03,-4.70560539e-02,9.61385735e-01
3.61000000e+00,-8.10250999e-03,-4.74308950e-02,9.61582804e-01
3.62000000e+00,-8.57774029e-03,-4.78046936e-02,9.61778943e-01
3.63000000e+00,-9.05669568e-03,-4.81774030e-02,9.61974159e-01
3.64000000e+00,-9.53936508e-03,-4.85489760e-02,9.62168457e-01
3.65000000e+00,-1.00257369e-02,-4.89193652e-02,9.62361842e-01
3.66000000e+00,-1.05157991e-02,-4.92885228e-02,9.62554319e-01
3.67000000e+00,-1.10095391e-02,-4.96564006e-02,9.62745893e-01
3.68000000e+00,-1.15069439e-02,-5.00229501e-02,9.62936569e-01
3.69000000e+00,-1.20080001e-02,-5.03881222e-02,9.63126353e-01
3.70000000e+00,-1.25126936e-02,-5.07518677e-02,9.63315250e-01
3.71000000e+00,-1.30210099e-02,-5.11141371e-02,9.63503264e-01
3.72000000e+00,-1.35329341e-02,-5.14748802e-02,9.63690400e-01
3.73000000e+00,-1.40484506e-02,-5.18340468e-02,9.63876664e-01
3.74000000e+00,-1.45675436e-02,-5.21915861e-02,9.64062060e-01
3.75000000e+00,-1.50901964e-02,-5.25474471e-02,9.64246593e-01
3.76000000e+00,-1.56163921e-02,-5.29015784e-02,9.64430269e-01
3.77000000e+00,-1.61461132e-02,-5.32539281e-02,9.64613090e-01
3.78000000e+00,-1.66793416e-02,-5.36044443e-02,9.64795063e-01
3.79000000e+00,-1.72160588e-02,-5.39530743e-02,9.64976192e-01
